Word,Corrected,Connected,Additional,Removal,Subs,Undefined,??????
contakts,Contacts,,,,,,1
contanalysis,Cont analysis,1,,,,,
contancts,Contacts,,1,,,,
contantpool,Content pool,1,,,,,1
contary,Contrary,,,1,,,
contentareadd,content area,1,2,,,,
contentassistant,content assistant,1,,,,,
contentassistinvocationcontext,Content assist invocation context,3,,,,,
contentassistprocessor,Content assist processor,2,,,,,
contentassistrequest,Content assist request,2,,,,,
contentbrowser,Content browser,1,,,,,
contentcommitment,Content commitment,1,,,,,
contentcomposite,Content composite,1,,,,,
contentcust,Content cost,1,,,,,*
contentcustomclicker,Content custom clicker,2,,,,,
contentdisposition,Content disposition,1,,,,,
contentend,Content end,1,,,,,
contentextensiontoc,Content extension toc,2,,,,,
contentfilteractivity,Content filter activity,2,,,,,
contenthandler,Content handler,1,,,,,
contenthandlerregistryreader,Content handler registry reader,3,,,,,
contentinfo,Content info,1,,,,,
contentinserted,Content inserted,1,,,,,
contentisdescendantof,content sides cendantof,2,,,1,,
contentmergeviewer,Content merge viewer,2,,,,,
contentmodelmanager,Content model manager,2,,,,,
contento,Content,,1,,,,
contentobservor,Content observer,1,,,,,*
contentpatterndrawcallback,Content pattern draw callback,3,,,,,
contentprocess,Content process,1,,,,,
contentprocessparent,Content process parent,2,,,,,
contentprovided,Content provided,1,,,,,
contentproviderdemo,Content provider demo,2,,,,,
contentprovideroperation,Content provider operation,2,,,,,
contentquerymap,Content querymap,1,,,,,
contentscriptfile,Content script file,2,,,,,
contentscripturl,Content script url,2,,,,,
contentselector,Content selector,1,,,,,
contentselist,Contents list,1,1,,,,
contentsprovider,Contents provider,1,,,,,
contentss,contents,,1,,,,
contentsyncrequestproducer,Content syncrequest producer,2,,,,,
contenttoolbarframe,Content toolbar frame,2,,,,,
contenttypedecorator,Content type decorator,2,,,,,
contenttypeidentifier,Content type identifier,2,,,,,
contenttypematcher,Content type matcher,2,,,,,
contenttypes,Content types,1,,,,,
contentviewers,Content viewers,1,,,,,
contentwindow,Content window,1,,,,,
contet,content,,,1,,,
contetprovider,Content provider,1,,1,,,
contex,context,,,1,,,
contextadmin,Context admin,1,,,,,
contextclass,Context class,1,,,,,
contextclassloaderlocal,Context class loader local,3,,,,,
contextcopywindowcontentstorect,Context copy window content storect,4,,,,,
contextcoreplugin,Context core plugin,2,,,,,
contextdeactivated,Context deactivated,1,,,,,
contextinitialized,Context initialized,1,,,,,
contextinstance,Context instance,1,,,,,
contextiterator,Context iterator,1,,,,,
contextlabel,Context label,1,,,,,
contextmanager,Context manager,1,,,,,
contextmanagerchanged,Context manager changed,2,,,,,
contextmenucallback,Context menu callback,2,,,,,
contextmenue,Context menu,1,1,,,,
contextmenufactory,Context menufactory,1,,,,,
contextmenuinfo,Context menuinfo,1,,,,,
contexto,context,,1,,,,
contextproperties,Context properties,1,,,,,
contextretrievewizard,Context retrievewizard,1,,,,,
contextsensitivecondition,Context sensitive condition,2,,,,,
contextthemewrapper,Context theme wrapper,2,,,,,
contexttype,Context type,1,,,,,
contextualmenuinsertitems,Contextual menu insertitems,2,,,,,
contextualmenuselect,Contextual menuselect,1,,,,,
contianer,container,,,,1,,
contianing,containing,,,,1,,
contibue,contib,,2,,,,
continnue,continue,,1,,,,
continualy,continually,,,1,,,
continueinnewthread,Continue in new thread,3,,,,,
continuelifecycle,Continue lifecycle,1,,,,,
continuely,Continually,,,1,,,
continuenumbering,Continue numbering,1,,,,,
continuepreference,Continue preference,1,,,,,
continuin,Continue in,1,,1,,,
continusly,continuously,,,2,,,
contiues,continues,,,1,,,
contnue,continue,,,1,,,
contractclasses,Contract classes,1,,,,,
contracti,contract,,1,,,,
contrcutor,constrcutor,,,1,,,
contributemarksets,Contribute markets,1,1,,,,
contributeobjectactio,Contribute objectactio,1,,,,,
contributetomenu,Contribute to menu,2,,,,,
contributionmanager,Contribution manager,1,,,,,
contributionmessages,Contribution messages,1,,,,,
contributorid,Contributor id,1,,,,,
contrl,control,,,1,,,
controlabstract,Control abstract,1,,,,,
controladapter,Control adapter,1,,,,,
controlclass,Control class,1,,,,,
controlcomposite,Control composite,1,,,,,
controlevents,Control events,1,,,,,
controlexample,Control example,1,,,,,
controlflow,Control flow,1,,,,,
controlkey,Control key,1,,,,,
controlleravailable,Controller available,1,,,,,
controllercommanddispatch,Controller command dispatch,2,,,,,
controlleroverlay,Controller overlay,1,,,,,
controllo,controll,,1,,,,
controlmanager,Control manager,1,,,,,
controlmoved,Control moves,1,,,,,*
controlobservablevalue,Control observable value,2,,,,,
controlresized,Control resized,1,,,,,
controlrunnable,Control runnable,1,,,,,
controlsupport,Control support,1,,,,,
controlswithlabels,Controls with labels,2,,,,,
controltool,Control tool,1,,,,,
conut,count,,,,1,,
conveinent,convenient,,,,1,,
conveniet,convenient,,,1,,,
conver,convert,,,1,,,
conversationcursorlogic,Conversation cursor logic,2,,,,,
conversationutil,Conversation util,1,,,,,
conversionexception,Conversion exception,1,,,,,
conversionmanager,Conversion manager,1,,,,,
conversionmanagertestmodel,Conversion manager test model,3,,,,,
conversionproperties,Conversion properties,1,,,,,
conversionutility,Conversion utility,1,,,,,
conversionvalues,Conversion values,1,,,,,
converstation,conversation,,1,,,,
convertarguments,Convert arguments,1,,,,,
convertdatetime,Convert date time,2,,,,,
convertenrichmodepreference,Convert enrich mode preference,3,,,,,
convertername,Converter name,1,,,,,
converterservice,Converter service,1,,,,,
convertexception,Convert exception,1,,,,,
convertfilefromremoteencoding,Convert file from remote encoding,4,,,,,
convertfilter,Convert filter,1,,,,,
convertfrom,Convert from,1,,,,,
convertibletonative,Convertible to native,2,,,,,
convertingcallback,Converting callback,1,,,,,
convertpath,Convert path,1,,,,,
convertpoint,Convert point,1,,,,,
convertstringtoustring,Convert string to string,3,1,,,,
convertstringtovalue,Convert string to value,3,,,,,
converttemporaltype,Convert temporal type,2,,,,,
converttodouble,Convert to double,2,,,,,
converttofileurl,Convert to file url,3,,,,,
converttoheapstorage,Convert to heap storage,3,,,,,
converttojavaelements,Convert to java elements,3,,,,,
converttosetting,Convert to setting,2,,,,,
converttosimpletype,Convert to simple type,3,,,,,
converttovariabledeclarationfragment,Convert to variable declaration fragment,4,,,,,
converttovariabledeclarationstatement,Convert to variable declaration statement,4,,,,,
convertvaluetotype,Convert value to type,3,,,,,
conway,Con way,1,,,,,
cookiebehavior,Cookie behavior,1,,,,,
cookiedata,Cookie data,1,,,,,
cookiedomain,Cookie domain,1,,,,,
cookiemonster,Cookie monster,1,,,,,
cookiename,Cookie name,1,,,,,
cookiepath,Cookie path,1,,,,,
cookieservicechild,Cookie service child,2,,,,,
cookieslist,Cookies list,1,,,,,
coolbar,Cool bar,1,,,,,
cooli,cool,,1,,,,
coolpreview,Cool preview,1,,,,,
coontains,contains,,1,,,,
coontrary,contrary,,1,,,,
coordinatorexception,Coordinator exception,1,,,,,
copare,compare,,,1,,,
copeprovider,Cope provider,1,,,,,
coprorate,corprorate,,,1,,,
copty,copy,,1,,,,
copuntry,country,,1,,,,
copyattributevalue,Copy attribute value,2,,,,,
copyconstructany,Copy constructancy,1,,1,,,
copycontents,Copy contents,1,,,,,
copyfiletoremotehost,Copy file to remote host,4,,,,,
copyfontfile,Copy font file,2,,,,,
copyfrom,Copy from,1,,,,,
copyifidentical,Copy if identical,2,,,,,
copyindexafterobject,Copy index after object,3,,,,,
copyinto,Copy into,1,,,,,
copylanguagedata,Copy language data,2,,,,,
copynativebinariesli,Copy native binaries,2,2,,,,
copyobject,Copy object,1,,,,,
copyobjectbar,Copy object bar,2,,,,,
copypaste,Copy paste,1,,,,,
copypath,Copy path,1,,,,,
copyprocessor,Copy processor,1,,,,,
copyprojectaction,Copy project action,2,,,,,
copyqueryresults,Copy query results,2,,,,,
copyrightandlicensenotice,Copyright and license notice,3,,,,,
copyrightfax,Copyright fax,1,,,,,
copyrightfields,Copyright fields,1,,,,,
copyselectiontoclipboard,Copy selection to clipboard,3,,,,,
copystream,Copy stream,1,,,,,
copytodropins,Copy to drop ins,3,,,,,
copytoimagedialog,Copy to image dialog,3,,,,,
copytotarget,Copy to target,2,,,,,
copytree,Copy tree,1,,,,,
corageous,courageous,,,1,,,
coreanimation,Core animation,1,,,,,
coreapplication,Core application,1,,,,,
coreattribute,Core attribute,1,,,,,
coreauc,Core auc,1,,,,,
coreaudio,Core audio,1,,,,,
corecontextplugin,Core context plugin,3,,,,,
corecriticalsectionbase,Core critical section base,3,,,,,
coredump,Core dump,1,,,,,
coreectly,correctly,,1,1,,,
coreexception,Core exception,1,,,,,
corefonts,Core fonts,1,,,,,
coregraphics,Core graphics,1,,,,,
coregraphicsfull,Core graphics full,2,,,,,
coregraveyard,Core graveyard,1,,,,,
coreinvokehandler,Core invoke handler,2,,,,,
coremediaioservicesp,Core media io services,3,1,,,,
corereflection,Core reflection,1,,,,,
coreruntime,Core runtime,1,,,,,
coreservices,Core services,1,,,,,
coreservicesd,coreservices,,1,,,,
coretest,Core test,1,,,,,
coretypes,Core types,1,,,,,
coreutil,Core util,1,,,,,
cornercases,Corner cases,1,,,,,
corrcetly,correctly,,,,1,,
correctily,correctly,,1,,,,
correctionmarkerresolutiongenerator,Correction marker resolution generator,3,,,,,
correctlty,correctly,,1,,,,
correcto,correct,,1,,,,
correlationhelper,Correlation helper,1,,,,,
correlationjob,Correlation job,1,,,,,
correnspond,correspond,,1,,,,
correputed,corrupted,,1,,1,,*
correspondily,correspondingly,,,2,,,
corresponing,corresponding,,,1,,,
corrput,corrupt,,,,1,,
corrputed,corrupted,,,,1,,
corrsponding,corresponding,,,1,,,
corwny,corny,,1,,,,
cosmosmagazine,Cosmos magazine,1,,,,,
cosonant,consonant,,,1,,,
costrained,constrained,,,1,,,
cotent,content,,,1,,,
cotrol,control,,,1,,,
couchone,Couch one,1,,,,,
couldnotbeconvertedtoclass,Could not be converted to class,5,,,,,
coule,coulee,,,1,,,
counterdesk,Counter desk,1,,,,,
countertabs,Counter tabs,1,,,,,
countertest,Counter test,1,,,,,
countinuous,continuous,,1,,,,
countnonexternalizedstrings,Count non externalized strings,3,,,,,
countrya,country,,1,,,,
countrydweller,Country dweller,1,,,,,
countryname,Country name,1,,,,,
countrypopulation,Country population,1,,,,,
countryxxx,Country xxx,1,,,,1,
countryy,country,,1,,,,
countslotsvisitor,Countslots visitor,1,,,,,
countutfbytes,Count utf bytes,2,,,,,
countwritten,Count written,1,,,,,
coupedout,Couped out,1,,,,,
couriernew,Courier new,1,,,,,
couriernewpsmt,Courier new psmt,2,,,,,
coustom,custom,,1,,,,
coutermode,Counter mode,1,,1,,,
coveragefile,Coverage file,1,,,,,
coverart,Cover art,1,,,,,
coverpage,Cover page,1,,,,,
covmerge,comverge,,,,1,,
cparameter,C parameter,1,,,,,
cparser,C parser,1,,,,,
cparsercontext,Cparser context,1,,,,,
cperformer,C performer,1,,,,,
cpich,C pitch,1,,1,,,
cplugin,C plugin,1,,,,,
cpnotebook,Cp notebook,1,,,,,
cpool,C pool,1,,,,,
cppchecks,Cpp checks,1,,,,,
cppclassspecialization,Cpp class specialization,2,,,,,
cppguide,Cpp guide,1,,,,,
cppimplementation,Cpp implementation,1,,,,,
cppnamespacescope,Cpp namespace scope,2,,,,,
cppspecialization,Cpp specialization,1,,,,,
cppunknownclassinstance,Cpp unknown class instance,3,,,,,
cppvisitor,Cpp visitor,1,,,,,
cprojectdescription,C project description,2,,,,,
cpuarchitecturename,Cpu architecture name,2,,,,,
cpudetection,Cpu detection,1,,,,,
cpufreq,Cpu freq,1,,,,,
cpuname,Cpu name,1,,,,,
cputime,Cpu time,1,,,,,
cputimethread,Cpu timethread,1,,,,,
cpxdispatchevent,Cpx dispatch event,2,,,,,
craete,create,,,,1,,
crahses,crashes,,,,1,,
craiglist,craigslist,,,1,,,
crapp,crap,,1,,,,
crasehd,crashed,,,,1,,
crashcontext,Crash context,1,,,,,
crashdebug,Crash debug,1,,,,,
crashkill,Crash kill,1,,,,,
crashlist,Crash list,1,,,,,
crashmonitorservice,Crash monitor service,2,,,,,
crashplugin,Crash plugin,1,,,,,
crashreporterapidata,Crash reporter api data,3,,,,,
crashreporting,Crash reporting,1,,,,,
crashreportsadmin,Crash reports admin,2,,,,,
crashsms,Crash sms,1,,,,,
crashstorage,Crash storage,1,,,,,
crashstorageclass,Crash storageclass,1,,,,,
crashstoragesystemfornfs,Crash storage system for nfs,4,,,,,
crashsubmit,Crash submit,1,,,,,
crashtest,Crash test,1,,,,,
crashtests,Crash tests,1,,,,,
crashwarningmsg,Crash warning msg,2,,,,,
crawlercontroller,Crawler controller,1,,,,,
crawlerexception,Crawler exception,1,,,,,
crawlqueue,Crawl queue,1,,,,,
crawlthread,Crawl thread,1,,,,,
crawviewerextension,Craw viewer extension,2,,,,,
crazylifeblloghome,Crazy life blog home,3,1,,,,
crazypants,Crazy pants,1,,,,,
creadit,credit,,1,,,,
creaet,create,,,,1,,
creamclient,Cream client,1,,,,,
creashes,crashes,,1,,,,
creat,create,,,1,,,
createadditionalcontrols,Create additional controls,2,,,,,
createaddresslist,Create address list,2,,,,,
createaddresslistdialog,Create address list dialog,3,,,,,
createandinserttempdeclaration,Create and insert temp declaration,4,,,,,
createandlink,Create and link,2,,,,,
createandpreparecontainer,Create and prepare container,3,,,,,
createandregisterswtviewid,Create and register set view id,5,,,,,*
createandrunui,Create and run ui,3,,,,,
createandrunworkbench,Create and run workbench,3,,,,,
createanonymousservice,Create anonymous service,2,,,,,
createappdata,Create app data,2,,,,,
createapplication,Create application,1,,,,,
createarea,Create area,1,,,,,
createassociationsmap,Create associations map,2,,,,,
createattribute,Create attribute,1,,,,,
createattributemappings,Create attribute mappings,2,,,,,
createauthor,Create author,1,,,,,
createbar,Create bar,1,,,,,
createbasequery,Create base query,2,,,,,
createbasicidetoolbar,Create basic ide toolbar,3,,,,,
createbeanproxy,Create bean proxy,2,,,,,
createbenchmarktables,Create benchmark tables,2,,,,,
createbinaryarchive,Create binary archive,2,,,,,
createbitmap,Create bitmap,1,,,,,
createbogusnodeifneeded,Create bogus node if needed,4,,,,,
createbufferobjects,Create buffer objects,2,,,,,
createbug,Create bug,1,,,,,
createbuilders,Create builders,1,,,,,
createbuildpropertiesfile,Create build properties file,3,,,,,
createbundleinfo,Create bundle info,2,,,,,
createcacheentry,Create cache entry,2,,,,,
createcaption,Create caption,1,,,,,
createcatalogue,Create catalogue,1,,,,,
createcategoryiu,Create category,1,2,,,,
createcdtproject,Create cdt project,2,,,,,
createchangemanager,Create change manager,2,,,,,
createchangesforoutertypechange,Create changes for outer typechange,4,,,,,
createcharthandler,Create chart handler,2,,,,,
createcharttype,Create chart type,2,,,,,
createchildcommand,Create child command,2,,,,,
createchildcontext,Create child context,2,,,,,
createchildforlinkedresource,Create child for linked resource,4,,,,,
createchildfragments,Create child fragments,2,,,,,
createclass,Create class,1,,,,,
createclassfilecontainers,Create class file containers,3,,,,,
createclassloader,Create class loader,2,,,,,
createclasspathselection,Create class path selection,3,,,,,
createclone,Create clone,1,,,,,
createcloseaction,Create closeaction,1,,,,,
createcodereader,Create code reader,2,,,,,
createcollection,Create collection,1,,,,,
createcolumn,Create column,1,,,,,
createcommonactiongroup,Create common action group,3,,,,,
createcomposite,Create composite,1,,,,,
createconcatoperator,Create concat operator,2,,,,,
createconnectionelement,Create connection element,2,,,,,
createconnectionjob,Create connection job,2,,,,,
createcontainer,Create container,1,,,,,
createcontainerwindow,Create container window,2,,,,,
createcontentassistprocessors,Create content assist processors,3,,,,,
createcontents,Create contents,1,,,,,
createcontextmenu,Create context menu,2,,,,,
createcontrol,Create control,1,,,,,
createcontrollers,Create controllers,1,,,,,
createcontrols,Create controls,1,,,,,
createcopyofcompilationunitchange,Create copy of compilationunit change,4,,,,,
createcube,Create cube,1,,,,,
createcursorbyrange,Create cursor by range,3,,,,,
createcustomcontents,Create custom contents,2,,,,,
createcustomcontrol,Create custom control,2,,,,,
createcustomsdrobject,Create customsdrobject,1,,,,,
createcustomshapedefaults,Create custom shape defaults,3,,,,,
createdataobject,Create data object,2,,,,,
createdatecelleditor,Create date cell editor,3,,,,,
createdefaultclassfilereader,Create default class file reader,4,,,,,
createdelta,Create delta,1,,,,,
createdeployment,Create deployment,1,,,,,
createdeploymentfiles,Create deployment files,2,,,,,
createdeviceimpl,Create device impl,2,,,,,
createdfilepicker,Created file picker,2,,,,,
createdframebuffers,Created frame buffers,2,,,,,
createdialogwithhandler,Create dialog with handler,3,,,,,
createdirecttofieldmapping,Create direct to field mapping,4,,,,,
creatediskdevice,Create disk device,2,,,,,
createdocumentelement,Create document element,2,,,,,
createdocumentview,Create document view,2,,,,,
createdproject,Created project,1,,,,,
createdsmartbookmarks,Created smart bookmarks,2,,,,,
createdsrecord,Created record,1,1,,,,
createearcomposite,Create earcomposite,1,,,,,
createeclipseiu,Create eclipse iu,2,,,,1,
createeditingdomain,Create editing domain,2,,,,,
createeditoractionbars,Create editor action bars,3,,,,,
createelementdeclaration,Create element declaration,2,,,,,
createelementfromprototype,Create element from prototype,3,,,,,
createelementrequestadapter,Create element request adapter,3,,,,,
createentitymanager,Create entity manager,2,,,,,
createentitymanagerfactory,Create entity manager factory,3,,,,,
createentitymanagerfortransaction,Create entity manager for transaction,4,,,,,
createerrmsg,Create errmsg,1,,,,,
createevaluationenvironment,Create evaluation environment,1,,,,,
createexistentresourcefromhandle,Create existent resource from handle,4,,,,,
createexistingdomainelementwrappers,Create existing domain element wrappers,4,,,,,
createexportpackagesource,Create export package source,3,,,,,
createexportservicerecord,Create export service record,3,,,,,
createexternal,Create external,1,,,,,
createfacescase,Create facescase,1,,,,,
createfactoryconfiguration,Create factory configuration,2,,,,,
createfeatureentries,Create feature entries,2,,,,,
createfileaction,Create file action,2,,,,,
createfileexclusively,Create file exclusively,2,,,,,
createfileinstance,Create file instance,2,,,,,
createfilemenu,Create file menu,2,,,,,
createfiltermenu,Create filter menu,2,,,,,
createfiltertext,Create filter text,2,,,,,
createfirsttab,Create first tab,2,,,,,
createfolderaction,Create folder action,2,,,,,
createfolders,Create folders,1,,,,,
createform,Create form,1,,,,,
createfromassettest,Create from asset test,3,,,,,
createfromelement,Create from element,2,,,,,
createfromjobid,Create from jobid,2,,,,1,
createfromstring,Create from string,2,,,,,
createfunctiondefinition,Create function definition,2,,,,,
creategeneralnamelist,Create general name list,3,,,,,
createglobalmount,Create global mount,2,,,,,
createglobalobject,Create global object,2,,,,,
creategraphicbuffer,Create graphic buffer,2,,,,,
creategridmodellistener,Create grid model listener,3,,,,,
createhandle,Create handle,1,,,,,
createhistorybutton,Create history button,2,,,,,
createhistorycombo,Create history combo,2,,,,,
createidentifier,Create identifier,1,,,,,
createimagecontainer,Create image container,2,,,,,
createimagelayer,Create image layer,2,,,,,
createimagewithdefault,Create image with default,3,,,,,
createimplementationstub,Create implementation stub,2,,,,,
createimplicitmembers,Create implicit members,2,,,,,
createinactivewindow,Create inactive window,2,,,,,
createinitialcomponentcontext,Create initial component context,3,,,,,
createinitialmodel,Create initial model,2,,,,,
createinitialstate,Create initial state,2,,,,,
createinlineschema,Create inline schema,2,,,,,
createinstanceeverytime,Create instance everytime,2,,,,,
createinstancewithcontext,Create instance with context,3,,,,,
createissuerclass,Create issuer class,2,,,,,
createjavadocaction,Create java docaction,2,,,,,
createjavadocactiondelegate,Create java docaction delegate,3,,,,,
createjavafile,Create java file,2,,,,,
createjavainfofrompath,Create java info from path,4,,,,,
createjavapersistentattribute,Create java persistent attribute,3,,,,,
createjavasearchscope,Create java searchscope/create java search scope,3,,,,,
createkeypair,Create key pair,2,,,,,
createknown,Create known,1,,,,,
createlabel,Create label,1,,,,,
createlabelprovider,Create label provider,2,,,,,
createlaunchbarshortcut,Create launch bar shortcut,3,,,,,
createlayout,Create layout,1,,,,,
createlibary,Create library,1,,1,,,
createlinksource,Create link source,2,,,,,
createlistforliststyle,Create list for list style,4,,,,,
createlistgroup,Create list group,2,,,,,
createlistofvisibleshapes,Create list of visible shapes,4,,,,,
createlocalmount,Create local mount,2,,,,,
createlogicalresourcecombinationlist,Create logical resource combination list,4,,,,,
createmainpanel,Create mainpanel,1,,,,,
createmarker,Create marker,1,,,,,
createmastersection,Create master section,2,,,,,
createmeasurestring,Create measure string,2,,,,,
createmenuwithgeckostring,Create menu with gecko string,4,,,,,
createmessagebox,Create messagebox,1,,,,,
createmethodparametervariable,Create method parameter variable,3,,,,,
createmethodreferenceproposal,Create method reference proposal,3,,,,,
createmodelgen,Create model gen,2,,,,,
createmodelresource,Create model resource,2,,,,,
createmodelroot,Create model root,2,,,,,
createmspace,Create space,1,1,,,,
createnativequery,Create native query,2,,,,,
createnavigationrulecommand,Create navigation rule command,3,,,,,
createneededframes,Create needed frames,2,,,,,
createnewcachejar,Create new cache jar,3,,,,,
createnewcard,Create new card,2,,,,,
createnewdataset,Create new dataset,2,,,,,
createnewdoc,Create new doc,2,,,,,
createnewlinefromsocket,Create new line from socket,4,,,,,
createnewlocaltask,Create new local task,3,,,,,
createnewsequence,Create new sequence,2,,,,,
createnewsitems,Create news items,2,,,,,
createnocredentialspermissionnotification,Create no credentials permission notification,4,,,,,
createnodeshape,Create nodeshape,1,,,,,
createobjectbyfactoryname,Create object by factory name,4,,,,,
createobjectbytype,Create object by type,3,,,,,
createobjectnostatics,Create object no statics,3,,,,,
createobjects,Create objects,1,,,,,
createomtext,Create context,1,,,,,*
createonitemclicklistener,Create on item click listener,4,,,,,
createorganisation,Create organisation,1,,,,,
createormapperfile,Create or mapper file,3,,,,,
createoutputstreaminstance,Create output stream instance,3,,,,,
createoutstream,Create outstream,1,,,,,
createpackagecontext,Create package context,2,,,,,
createpackageroots,Create package roots,2,,,,,
createpackagestate,Create package state,2,,,,,
createpagegroup,Create page group,2,,,,,
createpaletteviewer,Create palette viewer,2,,,,,
createpanel,Create panel,1,,,,,
createparser,Create parser,1,,,,,
createpartcontrol,Create part control,2,,,,,
createpatchwizardparticipant,Create patch wizard participant,3,,,,,
createpathfile,Create path file,2,,,,,
createpattern,Create pattern,1,,,,,
createpaysthroughas,Create pay through as,3,1,,,,
createpeer,Create peer,1,,,,,
createplaceholderdiv,Create placeholder div,2,,,,,
createplatformresource,Create platform resource,2,,,,,
createplatformresourceuri,Create platform resourceuri,2,,,,,
createplaybackexception,Create playback exception,2,,,,,
createplugin,Create plugin,1,,,,,
createpluginproject,Create plugin project,2,,,,,
createpool,Create pool,1,,,,,
createpositionfromsourceline,Create position from sourceline,3,,,,,
createprinter,Create printer,1,,,,,
createproblemexception,Create problem exception,2,,,,,
createproblemtype,Create problem type,2,,,,,
createprocedure,Create procedure,1,,,,,
createproductbasetask,Create product based task,3,,1,,,
createproductsection,Create product section,2,,,,,
createprojects,Create projects,1,,,,,
createprovider,Create provider,1,,,,,
createprovisioningplan,Create provisioning plan,2,,,,,
createpseudobooleanconstraint,Create pseudo Boolean constraint,3,,,,,
createpurchaseorder,Create purchase order,2,,,,,
createpush,Create push,1,,,,,
createqname,Create qname,1,,,,,
createqueryresultsscriptable,Create query results scriptable,3,,,,,
createradiomanager,Create radio manager,2,,,,,
createrandomsubtree,Create random subtree,2,,,,,
createrawlines,Create raw lines,2,,,,,
createreadaccess,Create read access,2,,,,,
createreader,Create reader,1,,,,,
createrecognitioncontroller,Create recognition controller,2,,,,,
createrecord,Create record,1,,,,,
createregistrationlistener,Create registration listener,2,,,,,
createregistry,Create registry,1,,,,,
createremotethread,Create remote thread,2,,,,,
createreportquerys,Create report queries,2,,,,,*
createrequiredcapability,Create required capability,2,,,,,
createresourceaction,Create resource action,2,,,,,
createresultcontenthandler,Create result content handler,3,,,,,
createrootaction,Create root action,2,,,,,
createrunandrendertask,Create run and render task,4,,,,,
createsandboxobject,Create sandbox object,2,,,,,
createsaveable,Create saveable,1,,,,,
createschema,Create schema,1,,,,,
createsearchdocument,Create search document,2,,,,,
createsearchpatternprocessor,Create search pattern processor,3,,,,,
createsecondtab,Create second tab,2,,,,,
createsection,Create section,1,,,,,
createsections,Create sections,1,,,,,
createselecteddataset,Create selected dataset,2,,,,,
createself,Create self,1,,,,,
createserviceid,Create service id,2,,,,,
createsessioninputbuffer,Create session input buffer,3,,,,,
createsettings,Create settings,1,,,,,
createsettingsdocument,Create setting document,2,1,,,,
createshape,Create shape,1,,,,,
createshapeimport,Create shape import,2,,,,,
createsharedmemory,Create shared memory,2,,,,,
createshortcuts,Create shortcuts,1,,,,,
createsimpledatasource,Create simple datasource,2,,,,,
createsimpledoc,Create simple doc,2,,,,,
createsinglecomponentfactory,Create single component factory,3,,,,,
createsingleregistryfactory,Create single registry factory,3,,,,,
createsingleruleset,Create single ruleset,2,,,,,
createsocket,Create socket,1,,,,,
createsourcecontainers,Create source containers,2,,,,,
createspecificcontrols,Create specific controls,2,,,,,
createspeechrecognizer,Create speech recognizer,2,,,,,
createsqlexception,Create sql exception,2,,,,,
createsslengine,Create ssl engine,2,,,,,
createstack,Create stack,1,,,,,
createstatements,Create statements,1,,,,,
createstorageifmissing,Create storage if missing,3,,,,,
createstoragevolumes,Create storage volumes,2,,,,,
createstream,Create stream,1,,,,,
createstringtostringmapentry,Create string to string map entry,5,,,,,
createstructure,Create structure,1,,,,,
createstructuredviewer,Create structured viewer,2,,,,,
createsucceeded,Create succeeded,1,,,,,
createsuitefromdefinition,Create suite from definition,3,,,,,
createswingcomponent,Create swing component,2,,,,,
createsystraymenu,Create systray menu,2,,,,,
createtabcontent,Create tab content,2,,,,,
createtable,Create table,1,,,,,
createtags,Create tags,1,,,,,
createtcpsession,Create tcp session,2,,,,,
createterminal,Create terminal,1,,,,,
createtestenvironment,Create test environment,2,,,,,
createtext,Create text,1,,,,,
createtextcursorbyrange,Create text cursor by range,4,,,,,
createtextdoc,Create text doc,2,,,,,
createtextedit,Create text edit,2,,,,,
createtextlayout,Create text layout,2,,,,,
createtextobject,Create text object,2,,,,,
createtooltipcontentarea,Create tool tip content area,4,,,,,
createtooltiphelper,Create tool tip helper,3,,,,,
createtooltipkey,Create tool tip key,3,,,,,
createtopobject,Create top object,2,,,,,
createtransportlistener,Create transport listener,2,,,,,
createtrycatchstatement,Create trycatch statement,2,,,,,
createtypehierarchy,Create type hierarchy,2,,,,,
createui,Create ui,1,,,,,
createunique,Create unique,1,,,,,
createunoservicewitharguments,Create uno service with arguments,4,,,,,
createupdatedescriptor,Create update descriptor,2,,,,,
createupdatesnippet,Create update snippet,2,,,,,
createuri,Create uri,1,,,,,
createview,Create view,1,,,,,
createviewandoptionallyelementcommand,Create view and optionally element command,5,,,,,
createvirtualdevice,Create virtual device,2,,,,,
createwidget,Create widget,1,,,,,
createwidgets,Create widgets,1,,,,,
createwinlesspopupsurrogate,Create winless popup surrogate,3,,,,,
createworkbenchadvisor,Create workbench advisor,2,,,,,
createworkingcopy,Create working copy,2,,,,,
createworkingset,Create working set,2,,,,,
createworkingsetnewwizard,Create working set new wizard,4,,,,,
createworkspacefilereader,Create work space file reader,4,,,,,
createwriter,Create writer,1,,,,,
creatio,creation,,,1,,,
creationcontext,Creation context,1,,,,,
creationflags,Creation flags,1,,,,,
creationid,Creation id,1,,,,,
creationtime,Creation time,1,,,,,
creationtimeout,Creation timeout,1,,,,,
creationtimestamp,Creation timestamp,1,,,,,
creationyear,Creation year,1,,,,,
creatte,create,,1,,,,
creditlimt,Credit limit,1,,1,,,
crefactory,Cre factory,1,,,,,
crenameprocessor,Cre name processor,2,,,,,
crerated,Cre rated,1,,,,,
cresourcedatacontainer,Cre source data container,3,,,,,
crhome,chrome,,,,1,,
cripes,cripe,,1,,,,
crlfcrlf,Crlf crlf,1,,,,,
crofficetemplate,Cr office template,2,,,,,
crooksandliars,Crooks and liars,2,,,,,
cropactivity,Crop activity,1,,,,,
croptest,Crop test,1,,,,,
